country,volleyball,basketball,cricket,rugby,soccer,american_football,baseball,ice_hockey,handball,water_polo,field_hockey
Argentina,0.045537,0.081157,0.000846,0.053313,0.763504,0.005456,0.007804,0.006345,0.020588,6.3e-05,0.015386
Austria,0.04412,0.062756,0.020278,0.013623,0.636546,0.029284,0.014122,0.105386,0.058451,0.004246,0.011187
Australia,0.016629,0.117428,0.319007,0.118473,0.343477,0.022319,0.029548,0.014322,0.000542,0.004021,0.014232
Belgium,0.047877,0.094681,0.021206,0.040239,0.700028,0.012717,0.012542,0.019941,0.018637,0.005167,0.026965
Bulgaria,0.130318,0.088566,0.003893,0.004226,0.724486,0.011084,0.008638,0.015116,0.012114,0.000484,0.001076
Brazil,0.124538,0.073731,0.001004,0.006054,0.743469,0.011356,0.009786,0.000941,0.028607,0.000256,0.000256
Canada,0.037643,0.108679,0.045575,0.023733,0.269297,0.068278,0.097741,0.296929,0.000513,0.002069,0.049544
Switzerland,0.053998,0.061422,0.021905,0.039531,0.528847,0.019771,0.013443,0.1761,0.05663,0.005374,0.022979
Cameroon,0.007876,0.038194,0.001974,0.006031,0.92291,0.012467,0.001315,0.002001,0.007212,2e-05,0.0
China,0.051959,0.151877,0.124498,0.034803,0.50156,0.043459,0.067918,0.018742,0.003043,0.000872,0.001269
Colombia,0.065568,0.087875,0.001322,0.005672,0.787135,0.008406,0.03013,0.002849,0.007802,0.001772,0.00147
Germany,0.043446,0.080539,0.012849,0.01162,0.588035,0.023632,0.014735,0.0555,0.154232,0.003146,0.012265
Denmark,0.019993,0.046694,0.018868,0.009896,0.496044,0.019124,0.005373,0.065742,0.310694,0.001878,0.005693
Spain,0.024571,0.165551,0.009741,0.023159,0.702329,0.007903,0.009396,0.004664,0.041488,0.006625,0.004573
Finland,0.067911,0.090586,0.009931,0.003941,0.383134,0.015907,0.012061,0.385967,0.016776,0.000261,0.013523
France,0.021386,0.101323,0.004837,0.219505,0.560823,0.010708,0.0,0.017562,0.063243,0.000204,0.000408
Greece,0.055403,0.393851,0.02624,0.006514,0.453577,0.009437,0.00621,0.00274,0.021796,0.02411,0.000122
Croatia,0.048042,0.158524,0.003529,0.007924,0.506103,0.008015,0.010696,0.029414,0.186109,0.037743,0.003901
Indonesia,0.082853,0.089596,0.004279,0.002326,0.799409,0.00487,0.013063,0.000887,0.002309,0.000127,0.000282
Ireland,0.002387,0.036178,0.041623,0.275026,0.589736,0.026704,0.00925,0.007832,0.001939,0.0,0.009324
India,0.0,0.000169,0.897354,0.0,0.098095,0.000169,0.0,0.000337,0.0,0.0,0.003877
Italy,0.125886,0.087928,0.015042,0.032347,0.702956,0.00556,0.009294,0.005899,0.00579,0.006373,0.002923
Japan,0.101649,0.103411,0.002716,0.020279,0.375209,0.01555,0.362118,0.000831,0.015511,0.002553,0.000172
Kenya,0.005041,0.028688,0.029757,0.032223,0.883682,0.009532,0.002771,0.003183,0.003563,0.0,0.00156
Kazakhstan,0.049067,0.046144,0.003333,0.00313,0.791656,0.003328,0.00466,0.091324,0.004686,0.001712,0.00096
Luxembourg,0.044487,0.120531,0.018055,0.074987,0.611574,0.021179,0.010418,0.022996,0.071695,0.001062,0.003016
Mexico,0.048086,0.092713,0.001797,0.003716,0.702938,0.040034,0.096518,0.004144,0.007081,0.001044,0.001929
Malaysia,0.034268,0.062721,0.118496,0.030759,0.683587,0.021535,0.015645,0.007407,0.009142,0.000217,0.016224
Netherlands,0.050995,0.052725,0.023255,0.026898,0.664341,0.01023,0.026036,0.022321,0.035539,0.011291,0.076371
Norway,0.026773,0.041383,0.023693,0.01133,0.611479,0.015496,0.010529,0.067837,0.180294,0.00102,0.010165
New Zealand,0.01181,0.069855,0.214345,0.404789,0.232314,0.015306,0.019765,0.015185,0.000121,0.000362,0.016149
Philippines,0.201177,0.517373,0.022373,0.013153,0.160357,0.021617,0.054562,0.008394,9e-05,0.000226,0.000677
Portugal,0.03866,0.065412,0.013471,0.026971,0.781206,0.008111,0.007424,0.008454,0.046812,0.002196,0.001285
Romania,0.032247,0.077254,0.008303,0.025767,0.7177,0.007781,0.008537,0.021462,0.095374,0.003201,0.002374
Serbia,0.064904,0.240889,0.000358,0.000971,0.582093,0.009072,0.002611,0.009418,0.056324,0.033263,9.8e-05
Sweden,0.019518,0.042109,0.014169,0.010199,0.48025,0.013181,0.011721,0.258291,0.106977,0.001702,0.041884
Thailand,0.021527,0.020774,0.000884,0.000278,0.953364,0.00108,0.001611,5.3e-05,0.000429,0.0,0.0
Uganda,0.00137,0.01374,0.013963,0.007059,0.955106,0.006003,0.001321,0.000874,0.00055,9e-06,5e-06
United States,0.03278,0.213343,0.019493,0.007535,0.210474,0.321782,0.143034,0.043516,0.00018,0.000291,0.007571
Zimbabwe,0.007422,0.022836,0.100739,0.050581,0.796676,0.007072,0.00347,0.004344,0.003576,0.000371,0.002914
